file_keys,chimes-LFM1,chimes-LFM2,chimes-NMF1,chimes-NMF2,chimes-TNMF1,chimes-TNMF2,chimes-anchor
HqJA74nHx8F8G5KnXYYLmAQF4ph7VLoC,0.88,0.82,0.84,0.98,0.94,0.58,0
e7oSjCjrUt8qr61G0Q6X0JVVw1YVElIS,0.26,0.13,0.29,0.31,0.16,0.12,0
fHUwiTGQEIwz7fmj4TsiJoaeJickVsIb,0.5,0.5,0.25,0.5,0.5,0.49,0
M3bm3cY8NqXvs176GZlDBGvygZKFODtA,0.7,0.52,0.53,0.44,0.53,0.6,0.24
21KFBeTbbugk2DRokwuXHptv2SQw6SE8,0.53,0.41,0.24,0.22,0.13,0.12,0
GXSw9ANESCQdnhog1JprdNyFa6KIifMZ,0.75,0.25,0.13,0.38,0.76,0,0.49
xwxLjv1h7lTXX2H48FiaiBnkEfkXaIjI,0.51,0.56,0.26,0.49,0.48,0.48,0
V1D8kI9suGpJbhUCW1lX6BxtCTMw7r83,0.29,0.54,0.81,0.51,0.54,0.57,0.04
fFVYivWmmEzhRhoM52qh4zITGnziN0f2,0.67,0.54,0.55,0.56,0.45,0.49,0.27
9A33cgJihJOGlPkx0FKrXCZVsX38WZy6,0.41,0.44,0.38,0.42,0.43,0.39,0.36
ba1t2NoLAvKeT9kslWx0twJu1vqI2TNe,0.34,0.36,0.46,0.45,0.23,0.19,0
7dsxvnitvAGlV9k68UHvDu6ZeyvAHRUP,0.2,0.22,0.49,0.47,0.49,0.21,0.26
IjOjxSbZqGxstbD7nX3guAoHkJumPavy,0.5,0.03,0.13,0.47,0.23,0.41,0.03
kwyTCrHNYExQo1z8wIbtQIx37S7EvToQ,0.28,0.29,0.23,0.08,0.07,0.11,0.08
tI8wZzBRhYTBrTDX2KTtNhimyCPOi7HM,0.48,0.49,0.5,0.5,0.47,0.43,0.1
9dKDGIWtyYOl0MAcfEL5jFWY3CzCwirG,0.56,0.46,0.77,0.53,0.53,0.78,0.45
cEy42CCEP1M6PDnPBc2WQhqJy3GmofsA,0.47,0.54,0.35,0.41,0.35,0.46,0.18
Ns08sCTVb0gUSuiyVSfbWrSGkNztKXBy,0.31,0.63,0.74,0.57,0.74,0.44,0.22
sI6aN6AqOTUhAIVi8vZ8ImnejxR5B3m4,0.77,0.51,0.64,0.26,0.52,0.37,0.04
hLdj7PP52wTvKGYg7bVkq4l9FKccuQVM,0.29,0.3,0,0,0.11,0.11,0
vwxm9ko8sfjOKpFoK9cwyl73PBQgXUut,0.56,0.36,0.71,0.71,0.49,0.51,0
ZP7t6PQrJRGgRS88S4BOB1G68k0UzHsy,0.41,0.25,0.32,0.03,0.11,0.07,0.04
GU8FFbuVQ21M5xgDig4BbNYaK3g3KVkr,0.5,0.49,0,0.1,0,0,0
gbFeXy8LnJXDsBHFEf2rLfTxOixI6HEn,0.35,0.3,0.37,0.37,0.37,0.29,0.1
