file_keys,dog-LFM1,dog-LFM2,dog-NMF1,dog-NMF2,dog-TNMF1,dog-TNMF2,dog-anchor
HqJA74nHx8F8G5KnXYYLmAQF4ph7VLoC,0.24,0.33,0.12,0.14,0.18,0.17,0.06
e7oSjCjrUt8qr61G0Q6X0JVVw1YVElIS,0.28,0.2,0,0.05,0,0.2,0.22
fHUwiTGQEIwz7fmj4TsiJoaeJickVsIb,0,0.5,0.25,0.25,0.25,0,0
M3bm3cY8NqXvs176GZlDBGvygZKFODtA,0.66,0.59,0.52,0.52,0.43,0,0.73
21KFBeTbbugk2DRokwuXHptv2SQw6SE8,0.6,0.32,0.07,0.07,0,0,0.32
GXSw9ANESCQdnhog1JprdNyFa6KIifMZ,0.45,0.37,0,0.43,0,0.05,0.2
xwxLjv1h7lTXX2H48FiaiBnkEfkXaIjI,0.64,0.24,0.07,0.5,0.24,0,0.49
V1D8kI9suGpJbhUCW1lX6BxtCTMw7r83,0.43,0.51,0.28,0.1,0.04,0.05,0.09
fFVYivWmmEzhRhoM52qh4zITGnziN0f2,0.2,0.76,0.22,0.18,0.21,0.22,0.23
9A33cgJihJOGlPkx0FKrXCZVsX38WZy6,0.25,0.23,0.25,0.25,0.23,0.19,0.26
ba1t2NoLAvKeT9kslWx0twJu1vqI2TNe,0.35,0.32,0,0.42,0,0,0.41
7dsxvnitvAGlV9k68UHvDu6ZeyvAHRUP,0.24,0.24,0.02,0.02,0.02,0.02,0.25
IjOjxSbZqGxstbD7nX3guAoHkJumPavy,0.25,0.23,0.01,0.27,0.03,0,0.05
kwyTCrHNYExQo1z8wIbtQIx37S7EvToQ,0.12,0.48,0.11,0.12,0.03,0.09,0
tI8wZzBRhYTBrTDX2KTtNhimyCPOi7HM,0.57,0.65,0.38,0.36,0.25,0.12,0.42
9dKDGIWtyYOl0MAcfEL5jFWY3CzCwirG,0.59,0.49,0.51,0.58,0.63,0.45,0.58
cEy42CCEP1M6PDnPBc2WQhqJy3GmofsA,0.61,0.53,0.47,0.48,0.19,0.24,0.53
Ns08sCTVb0gUSuiyVSfbWrSGkNztKXBy,0.47,0.47,0.48,0.32,0.29,0.27,0.72
sI6aN6AqOTUhAIVi8vZ8ImnejxR5B3m4,0.74,0.75,0.58,0.26,0.24,0.38,0.66
hLdj7PP52wTvKGYg7bVkq4l9FKccuQVM,0.24,0.24,0,0,0,0,0.24
vwxm9ko8sfjOKpFoK9cwyl73PBQgXUut,0.64,0.64,0.35,0.36,0.24,0.25,0
ZP7t6PQrJRGgRS88S4BOB1G68k0UzHsy,0.09,0.21,0.15,0.04,0.11,0.08,0.15
GU8FFbuVQ21M5xgDig4BbNYaK3g3KVkr,0.51,0.5,0,0,0,0,0
gbFeXy8LnJXDsBHFEf2rLfTxOixI6HEn,0.24,0.66,0.24,0.25,0.3,0.31,0.42
