file_keys,frog-LFM1,frog-LFM2,frog-NMF1,frog-NMF2,frog-TNMF1,frog-TNMF2,frog-anchor
HqJA74nHx8F8G5KnXYYLmAQF4ph7VLoC,0.42,0.49,0.65,0.75,0.47,0.4,0.05
e7oSjCjrUt8qr61G0Q6X0JVVw1YVElIS,0.43,0.44,0.73,0.56,0.08,0.33,0.15
fHUwiTGQEIwz7fmj4TsiJoaeJickVsIb,0,0,0,0,0.51,0.51,0
M3bm3cY8NqXvs176GZlDBGvygZKFODtA,0.12,0.55,0.5,0.49,0.23,0.12,0.23
21KFBeTbbugk2DRokwuXHptv2SQw6SE8,0.17,0.35,0.57,0.32,0.32,0.39,0.01
GXSw9ANESCQdnhog1JprdNyFa6KIifMZ,0.87,0.4,0.5,0.39,0.49,0.08,0.02
xwxLjv1h7lTXX2H48FiaiBnkEfkXaIjI,0.5,0.13,0.75,0.13,0.36,0,0.24
V1D8kI9suGpJbhUCW1lX6BxtCTMw7r83,0.48,0.75,0.76,0.53,0.57,0.49,0.28
fFVYivWmmEzhRhoM52qh4zITGnziN0f2,0.41,0.16,0.66,0.46,0.49,0.12,0.08
9A33cgJihJOGlPkx0FKrXCZVsX38WZy6,0.4,0.37,0.21,0.11,0.15,0.4,0.09
ba1t2NoLAvKeT9kslWx0twJu1vqI2TNe,0.67,0.75,0.62,0.77,0.64,0.51,0
7dsxvnitvAGlV9k68UHvDu6ZeyvAHRUP,0.35,0.3,0.51,0.5,0.3,0.3,0.21
IjOjxSbZqGxstbD7nX3guAoHkJumPavy,0.07,0.26,0.29,0.05,0.06,0.05,0.04
kwyTCrHNYExQo1z8wIbtQIx37S7EvToQ,0.28,0.14,0.5,0.47,0.24,0.22,0.24
tI8wZzBRhYTBrTDX2KTtNhimyCPOi7HM,0.53,0.49,0.75,0.76,0.5,0.68,0.1
9dKDGIWtyYOl0MAcfEL5jFWY3CzCwirG,0.61,0.67,0.61,0.65,0.52,0.65,0.54
cEy42CCEP1M6PDnPBc2WQhqJy3GmofsA,0.34,0.4,0.48,0.61,0.18,0.3,0.14
Ns08sCTVb0gUSuiyVSfbWrSGkNztKXBy,0.47,0.41,0.23,0.21,0.39,0.04,0.15
sI6aN6AqOTUhAIVi8vZ8ImnejxR5B3m4,0.39,0.51,0.77,0.89,0.82,0.25,0
hLdj7PP52wTvKGYg7bVkq4l9FKccuQVM,0.1,0.1,0.24,0.36,0.24,0.1,0.35
vwxm9ko8sfjOKpFoK9cwyl73PBQgXUut,0.51,0.29,0.27,0.3,0.51,0.41,0.35
ZP7t6PQrJRGgRS88S4BOB1G68k0UzHsy,0.48,0.42,0.48,0.52,0.05,0.17,0.15
GU8FFbuVQ21M5xgDig4BbNYaK3g3KVkr,0.34,0.35,0.49,0.38,0.46,0,0
gbFeXy8LnJXDsBHFEf2rLfTxOixI6HEn,0.28,0.04,0.34,0.08,0.37,0.17,0
