file_keys,gunshot-LFM1,gunshot-LFM2,gunshot-NMF1,gunshot-NMF2,gunshot-TNMF1,gunshot-TNMF2,gunshot-anchor
HqJA74nHx8F8G5KnXYYLmAQF4ph7VLoC,0.24,0.24,0.37,0.37,0.24,0.06,0.25
e7oSjCjrUt8qr61G0Q6X0JVVw1YVElIS,0,0.44,0.1,0,0,0,0
fHUwiTGQEIwz7fmj4TsiJoaeJickVsIb,0.25,0.26,0,0,0,0,0
hLdj7PP52wTvKGYg7bVkq4l9FKccuQVM,0.13,0.38,0,0,0,0,0
21KFBeTbbugk2DRokwuXHptv2SQw6SE8,0.02,0.06,0.13,0.09,0.21,0.05,0
GXSw9ANESCQdnhog1JprdNyFa6KIifMZ,0.16,0.87,0.3,0.13,0.11,0.32,0.06
xwxLjv1h7lTXX2H48FiaiBnkEfkXaIjI,0,0.5,0,0,0,0,0
V1D8kI9suGpJbhUCW1lX6BxtCTMw7r83,0.07,0.35,0.33,0.05,0.22,0.07,0.17
fFVYivWmmEzhRhoM52qh4zITGnziN0f2,0.1,0.24,0.15,0.1,0.12,0.09,0
9A33cgJihJOGlPkx0FKrXCZVsX38WZy6,0.27,0.39,0.29,0.25,0.24,0.23,0.23
ba1t2NoLAvKeT9kslWx0twJu1vqI2TNe,0,0.25,0,0,0,0,0
7dsxvnitvAGlV9k68UHvDu6ZeyvAHRUP,0.2,0.21,0.13,0.12,0.05,0.05,0
IjOjxSbZqGxstbD7nX3guAoHkJumPavy,0.27,0.5,0.39,0,0.45,0.09,0.02
kwyTCrHNYExQo1z8wIbtQIx37S7EvToQ,0.41,0.48,0.3,0.02,0.24,0.22,0.02
tI8wZzBRhYTBrTDX2KTtNhimyCPOi7HM,0.07,0.12,0.1,0.12,0.03,0.13,0.04
9dKDGIWtyYOl0MAcfEL5jFWY3CzCwirG,0.33,0.32,0.17,0.15,0.19,0.13,0.16
cEy42CCEP1M6PDnPBc2WQhqJy3GmofsA,0.48,0.44,0.23,0.3,0.21,0.24,0
Ns08sCTVb0gUSuiyVSfbWrSGkNztKXBy,0.43,0.51,0.27,0.19,0.16,0.39,0.17
sI6aN6AqOTUhAIVi8vZ8ImnejxR5B3m4,0.38,0.49,0.49,0.24,0.25,0.43,0
vwxm9ko8sfjOKpFoK9cwyl73PBQgXUut,0.47,0.62,0.38,0.17,0.37,0.16,0
ZP7t6PQrJRGgRS88S4BOB1G68k0UzHsy,0,0.17,0,0,0.01,0,0
GU8FFbuVQ21M5xgDig4BbNYaK3g3KVkr,0,0,0,0,0,0,0
gbFeXy8LnJXDsBHFEf2rLfTxOixI6HEn,0.43,0.1,0.09,0.36,0.15,0.07,0
