file_keys,metal-LFM1,metal-LFM2,metal-NMF1,metal-NMF2,metal-TNMF1,metal-TNMF2,metal-anchor
HqJA74nHx8F8G5KnXYYLmAQF4ph7VLoC,0.79,0.73,0.47,0.47,0.49,0.31,0.02
e7oSjCjrUt8qr61G0Q6X0JVVw1YVElIS,0.98,0.01,0.03,0.07,0.17,0.28,0
fHUwiTGQEIwz7fmj4TsiJoaeJickVsIb,0.76,0.76,0,0,0,0,0
M3bm3cY8NqXvs176GZlDBGvygZKFODtA,0.75,0.9,0.48,0.44,0.36,0.48,0.08
21KFBeTbbugk2DRokwuXHptv2SQw6SE8,0.57,0.53,0.33,0.11,0.21,0.27,0
GXSw9ANESCQdnhog1JprdNyFa6KIifMZ,0.76,0.75,0.24,0.24,0.39,0.45,0
xwxLjv1h7lTXX2H48FiaiBnkEfkXaIjI,0.5,0.5,0.08,0.12,0.02,0.08,0
V1D8kI9suGpJbhUCW1lX6BxtCTMw7r83,0.79,0.79,0.33,0.35,0.1,0.3,0.07
fFVYivWmmEzhRhoM52qh4zITGnziN0f2,0.74,0.76,0.23,0.04,0.04,0.22,0
9A33cgJihJOGlPkx0FKrXCZVsX38WZy6,0.08,0.17,0.14,0.13,0.07,0.09,0.11
ba1t2NoLAvKeT9kslWx0twJu1vqI2TNe,0.01,0,0.18,0.12,0.03,0.04,0
7dsxvnitvAGlV9k68UHvDu6ZeyvAHRUP,0.18,0.17,0.03,0.08,0.22,0.29,0
IjOjxSbZqGxstbD7nX3guAoHkJumPavy,0.57,0.56,0.4,0.25,0.14,0.23,0.19
kwyTCrHNYExQo1z8wIbtQIx37S7EvToQ,0.27,0.33,0,0,0,0.07,0
tI8wZzBRhYTBrTDX2KTtNhimyCPOi7HM,0.23,0.22,0.14,0.18,0.19,0.2,0.04
9dKDGIWtyYOl0MAcfEL5jFWY3CzCwirG,0.63,0.55,0.37,0.25,0.44,0.34,0.38
cEy42CCEP1M6PDnPBc2WQhqJy3GmofsA,0.25,0.83,0,0.05,0.05,0.01,0
Ns08sCTVb0gUSuiyVSfbWrSGkNztKXBy,0.82,0.59,0.22,0.21,0.22,0.21,0.22
sI6aN6AqOTUhAIVi8vZ8ImnejxR5B3m4,0.59,0.51,0.25,0.2,0.24,0.33,0
hLdj7PP52wTvKGYg7bVkq4l9FKccuQVM,0.24,0.1,0,0,0.1,0,0
vwxm9ko8sfjOKpFoK9cwyl73PBQgXUut,0.5,0.5,0.25,0.25,0.24,0.37,0
ZP7t6PQrJRGgRS88S4BOB1G68k0UzHsy,0.21,0.17,0.12,0.17,0.19,0.16,0.02
GU8FFbuVQ21M5xgDig4BbNYaK3g3KVkr,0.73,0.65,0,0,0,0,0
gbFeXy8LnJXDsBHFEf2rLfTxOixI6HEn,0.15,0.13,0,0.03,0,0.03,0
