file_keys,wind-LFM1,wind-LFM2,wind-NMF1,wind-NMF2,wind-TNMF1,wind-TNMF2,wind-anchor
HqJA74nHx8F8G5KnXYYLmAQF4ph7VLoC,0.52,0.55,0.49,0.78,0.51,0.69,0.51
e7oSjCjrUt8qr61G0Q6X0JVVw1YVElIS,0.39,0.28,0.3,0.26,0.54,0.79,0.6
fHUwiTGQEIwz7fmj4TsiJoaeJickVsIb,0.25,0.25,0.5,0.25,0.51,0.51,0.25
M3bm3cY8NqXvs176GZlDBGvygZKFODtA,0.71,0.5,0.76,0.77,0.85,0.85,0.33
21KFBeTbbugk2DRokwuXHptv2SQw6SE8,0.04,0.04,0.18,0.69,0.6,0.33,0
GXSw9ANESCQdnhog1JprdNyFa6KIifMZ,0.62,0.64,0.29,0.38,0.28,0.03,0.05
xwxLjv1h7lTXX2H48FiaiBnkEfkXaIjI,0.51,0.5,0.52,0.5,0.51,0.76,0.5
V1D8kI9suGpJbhUCW1lX6BxtCTMw7r83,0.73,0.7,0.52,0.6,0.6,0.48,0.54
fFVYivWmmEzhRhoM52qh4zITGnziN0f2,0.62,0.62,0.61,0.62,0.61,0.62,0.6
9A33cgJihJOGlPkx0FKrXCZVsX38WZy6,0.24,0.39,0.41,0.38,0.44,0.42,0.5
ba1t2NoLAvKeT9kslWx0twJu1vqI2TNe,0.82,0.73,0.65,0.83,0.7,0.53,0.78
7dsxvnitvAGlV9k68UHvDu6ZeyvAHRUP,0.6,0.61,0.62,0.58,0.6,0.61,0.59
IjOjxSbZqGxstbD7nX3guAoHkJumPavy,0.33,0.41,0.35,0.54,0.54,0.51,0.5
kwyTCrHNYExQo1z8wIbtQIx37S7EvToQ,0.72,0.68,0.41,0.65,0.69,0.48,0.4
tI8wZzBRhYTBrTDX2KTtNhimyCPOi7HM,0.75,0.68,0.66,0.63,0.62,0.76,0.68
9dKDGIWtyYOl0MAcfEL5jFWY3CzCwirG,0.83,0.83,0.76,0.81,0.66,0.71,0.71
cEy42CCEP1M6PDnPBc2WQhqJy3GmofsA,0.56,0.56,0.44,0.46,0.7,0.39,0.42
Ns08sCTVb0gUSuiyVSfbWrSGkNztKXBy,0.53,0.2,0.35,0.31,0.32,0.43,0.44
sI6aN6AqOTUhAIVi8vZ8ImnejxR5B3m4,0.76,0.92,0.94,0.85,0.93,1,0.68
hLdj7PP52wTvKGYg7bVkq4l9FKccuQVM,0.5,0.35,0.42,0.35,0.43,0.35,0.24
vwxm9ko8sfjOKpFoK9cwyl73PBQgXUut,0.35,0.39,0.33,0.5,0.52,0.39,0.51
ZP7t6PQrJRGgRS88S4BOB1G68k0UzHsy,0.81,0.74,0.7,0.69,0.66,0.73,0.7
GU8FFbuVQ21M5xgDig4BbNYaK3g3KVkr,0.52,0.64,1,0.97,1,1,0.99
gbFeXy8LnJXDsBHFEf2rLfTxOixI6HEn,0.72,0.54,0.62,0.69,0.72,0.73,0.51
